country,Fully_Vaccinated,MR,CFR
"Sao Tome and Principe",45.71952522724974,0.3386208018716495,1.2263099219620959
Guinea,23.76544526009122,0.03369566636932225,1.2217455002092925
Azerbaijan,46.94397937532426,0.9712226534691089,1.2156732425002266
Grenada,31.06592592002168,1.8970340908185146,1.2093495934959348
Djibouti,26.50307668012965,0.1686218774841616,1.2045889101338432
Nepal,79.08683193493587,0.3934844475108442,1.2007176335673502
Zambia,43.15213009306278,0.2016718229444286,1.1940607530539205
India,67.13089082581527,0.3744976478244239,1.1877698875554354
Nigeria,29.269561673894962,0.014436636062279438,1.1840293023796924
Kosovo,46.29375769801612,1.796741512191974,1.1753521100910695
Oman,66.62207460175252,1.011297336276031,1.1594522414907529
"Saudi Arabia",69.63060108725291,0.2622715855914489,1.1539744383000115
